유형,직업,호불호
ISFJ,행정직 공무원,
ENTP,소프트웨어 개발,
ENTP,행정직,
INTP,UI/UX 디자이너,
ENTP,행정직,
ENFP,F&B,
INTJ,연구원,
INTP,개발자,
INFJ,서비스직,
ISTJ,간호사,
INFJ,엔지니어,
INFJ,PM,
ENTJ,가전제품 판매,
ENFP,"신사업
기획",호
ISTJ,철도관제,
ENFP,영업직,
INFP,인테리어,
ENFJ,PM,
ISTJ,기획,
ISTP,아트,
ESTJ,잡부,
INFJ,역무원,
ESFJ,사무직,
ISTJ,회계팀 세무,
ENTP,해외 영업직,
INTP,행정직 공무원,불호
ISTJ,공무원,
ESTP,QA,
ENTJ,연구원,
ISTJ,연구원,
INFP,코딩,
ISFJ,승무원,
ISTP,엔지니어,
INTP,연구직 공무원,
ESFP,사회복지사,
ENFP,영업직,
INFJ,연구원,
ENFP,공무원,
XSTJ,R&D,
INFJ,IT,
INTP,회계사,
ENFP,공무원,
ESTJ,사무 역무원,
ENFJ,영업직,
ENTJ,역무원,불호
ISTJ,공무원,
ENTP,해외 영업직,
ENFJ,공기업,
ESTP,기술직,
ESTJ,생산직,
INTJ,행정직 공무원,
ESFP,교사,
ESTJ,사무직,
ENFP,마케터,
ENTP,사무직,
ISFP,생산직,
ENFJ,공무원,
ENFP,신사업,
ISFJ,연구 개발,
ESFJ,엔지니어,
ISTP,공무원,
ENFP,마케터,불호
ESTP,연구 개발,
ENTP,소프트웨어 개발,
INFP,공무원,불호
ENXP,공무원,
ENFP,MD,
INFP,회계사,
INFJ,아트,
ISTJ,교사,
ESTP,연구원,불호
ISFP,건축 디자인,
ENFJ,디자인,
ENTP,개발,불호
ISFP,공무원,
ESFJ,역무원,
INTP,환경직,
INFJ,회계사,
INTJ,간호사,
ENFP,게임 프로그래머,
ENTP,마케터,
ISTP,은행원,
ENFJ,공무원,
ISFJ,초등교사,
ENTJ,전기 기술직,
INFJ,기술직,
ENFP,서비스직,
INTJ,기획,
ESTJ,영업직,
ENFP,조종사,
ISFP,디자인,
ESFP,HR,
ENFP,서비스직,
INFJ,개발자,
ISFJ,연구직,
ENTP,컨설팅,
ESFJ,공무원,불호
ENTP,IT 운영 개발,불호
ISTP,사무직,
ENFJ,"마케팅
영업",
ESTJ,마케팅 분석,
ENTJ,사업 기획,
INFJ,엔지니어,
ENFP,연구 개발,
INTJ,제약 생산,
ENFP,텔러,
ESTP,은행원,
INFP,마케터,호
INTJ,개발직,
ENFP,초등 교사,
INTJ,역무원,
ISXJ,설계,
INTJ,공돌이,
INFP,개발직,
ENTP,연구 개발,
ISFP,"세무
회계",
ISTP,총무,
INTJ,연구 개발,
ENFP,외항사 승무원,
ENFP,회계,불호
ISTJ,개발,
ENTP,영업직,
ENFP,MD,
INXP,연구직,
ENTP,영업직,
INTP,광고 디자이너,
ENFP,연구직,
ENTP,변호사,
ENTJ,회계,
ISFJ,엔지니어,불호
ESTJ,기자,
ENFP,의료직,불호
ESTP,개발자,
ISFP,개발직,
ISFP,서비스직,
ISTJ,영업직,
ENFP,공공기관 사무직,불호
ISTJ,바리스타,
ENTJ,서비스 기획,
INFP,PM,
ENFP,공공기관 사업관리,
INFJ,개발자,
ENFP,은행원,
ENFJ,웹 디자이너,
INFP,서비스 기획,
ESTJ,개발자,
ISTJ,소프트웨어 개발,
ISFJ,서비스직,
ISFJ,디자인,
ESFJ,경찰,
INFP,IT회사 클라이언트 서비스,
ENTJ,사업,
ESXJ,반도체 시뮬,
ESTJ,IT 기획,
INTJ,연구 기획,
ENFP,방송 기획,
ESTP,의약품 생산,
INFP,주식쟁이,
ENFP,승무원,
ISFP,의료직,
INFJ,개발자,
ISTP,기획,
ESFJ,시설 관리,
INFJ,개발직,
ENTJ,마케팅,
ESTP,영업직,
INTX,R&D,
INTJ,개발자,
ISFP,회계,
ENTP,교사,
ESTP,영업직,
ISFJ,QA,
ENTP,반도체 연구소,
INTJ,연구,
ESTJ,"운영
마케팅",
ENTJ,설계 디자인,
ISTP,은행원,
ISTP,사무직,
ISFP,영업직,
ENFP,승무원,
ENFP,사무직,불호
ENFJ,개발자,
ESTJ,자산운용,
ENTJ,영업직,
ESTP,마케팅 디자이너,
INTJ,프로그래머,
ESTP,공노비,
ENTP,개발자,
ISTP,운항,
INTJ,발전소,
ENTJ,의류 영업 MD,
INFP,개발자,
ENTJ,마케팅,
ISFJ,매장직,
ESTJ,설비팀,불호
INFJ,사무직,불호
ISTJ,은행원,
INTP,기관사,
ISTP,연구직,
INTJ,"개발
감사",
INFJ,마케팅,
ISTJ,생산 관리직,
INFP,사무직,
ENTP,개발자,
INFP,개발자,
ISFP,개발자,
ENTP,공노비,
ENTP,바리스타,
ENFP,사업가,
ENTP,공무원,불호
ESFJ,승무원,
ENXP,디자인,
ISFP,기획,불호
ISFJ,SCM,
ENFJ,기획자,
ENTP,개발 운영,
INFP,"GUI 디자인
일러스트레이터",
ESTJ,품질,
ESFJ,직업군인,
ENTP,인사,불호
ENTJ,현장직,
ENFJ,스텝조직 지원부서,
ENTJ,패션 디자이너,
ESTP,은행원,
XNFP,영업,
INTP,데이터 사이언스,
INTJ,영화 제작자,
INTJ,품질,
ISXJ,"상담
영업",호
ENFP,영업,
ENTJ,"보증
채권",
INFP,엔지니어,
INFP,개발자,
ENFJ,디자인,
EXTJ,제약회사 품질 사무직,
ENTP,공무원,호
ISTP,은행원,
ENFP,광고 기획,
ENTJ,자동차 업계 QC,
ENTP,"바이오인포매틱스 개발자
BD",
ESTJ,공무원,
ENFP,제조업 개발,
INTP,게임 클라 개발자,
INFP,마케팅 디자인,불호
ENFJ,연구직,
INFP,디자인,
ENFP,변호사,
ISFJ,은행원,
ENFJ,관리직,
ENTJ,은행원,불호
ISFJ,교사,
ESTJ,공무원,
ENTJ,비서,
ENTJ,컨설팅,
ISFP,마케팅,불호
ISTJ,UI/UX 디자이너,
INFP,안전 관리,
ENFJ,디자이너,
ESFP,잡무,
ESFP,영업관리,
INTP,매장직,
ESTP,회계사,
ISFP,서비스 기획,
INTJ,IT 엔지니어,호
INFP,연구원,
ENFP,기자,
ISFJ,기술직,
ENTP,영업 관리,
ISFJ,철도 관제,
ENFP,홍보 마케팅,
ENTP,프로그래머,
INTJ,엔지니어,
INTJ,대관,
ESTJ,MD,
INFJ,개발자,
ESTP,사무직,
INTP,컨설턴트,
INTJ,광고 기획,
ENFJ,연구원,
ESXJ,기술직,
INFP,교사,
ISFJ,연구원,
INTJ,공무원,
ENFP,기자,
ISFJ,행정직 공무원,
ISTJ,분석,
ENTP,마케팅 디자인,
ENFJ,HR,
ENTP,마케팅,
INTJ,개발자,
INTP,마케팅,
ENFJ,영업,
ISTP,영업,
ISTJ,국제 물류,
ISTJ,IT 기획,
INFP,사무직,
ENTJ,인사,
ISTP,게임 그래픽,
ISFP,안전 관리,
ENFP,개발자,
INTJ,개발자,
INFP,은행원,
INTJ,큐레이터,
ENTJ,은행원,
ESFJ,PM,
ISFJ,토목직 공무원,불호
ISTJ,회계,
ESFJ,"문화 예술 행정직
행사 기획",
INTP,은행원,불호
ENTP,디자이너,
ENFJ,사무직,
INTP,소프트웨어 개발,
INFP,기관사,
ESTJ,엔지니어,
ISTJ,기술직,
INTJ,마케팅,불호
ISTJ,공무원,
XNTP,디자이너,
INFP,회사원,불호
ENFP,기술직,
ENTP,상품 기획,
ENFP,연구원,
INFP,마케팅,
ISTJ,R&D,
ENTJ,언론 홍보,
ENTJ,공무원,
ESFJ,디자인,
INTP,회사원,불호
ENTP,은행원,
ESTJ,기획자,
INTJ,조종사,
INFJ,쿠팡맨,
ENTJ,생산 기술,
INTP,사무직,
ENTP,기획,
INFJ,기자,
ENTJ,시스템 엔지니어,
ENTJ,공사 감독,
INFP,그래픽 디자이너,
ESFJ,교사,
INTJ,사무직,
ISTP,"재무
기획",호
ESFJ,역무원,
ISFJ,의료직,
INTP,간호사,
INFJ,경영,
ESFP,교사,
ENTJ,광고 기획,
ESFJ,공무원,
ENTJ,오퍼레이션,
INFJ,IT 기획,
INFP,설비 기술직,
ESFJ,영업 관리,
ENTP,관리직,
INTJ,사업 기획,
ESFP,컨설팅,
ENTJ,SW직,
INTJ,은행원,
ENTP,기획,
ENTP,개발자,
ESFJ,개발자,
ESTJ,개발자,
INFJ,마케터,
INTP,개발,
ENTP,빅데이터,
INTP,공정 개발,
ISTP,금융 사무직,
ISTJ,PM,
INFJ,품질,
INTJ,카피라이터,
ISFP,간호사,
ENFJ,연구원,
INFJ,그래픽 디자이너,
ENFP,마케터,
INTJ,마케터,
ISTP,생산 기술직,
ENFJ,신사업 기획,
ENTP,조종사,
ENTJ,PB,
ENFP,PD,
INTP,개발자,
INTJ,엔지니어,
ENTP,품질,
ISFJ,개발자,
ENTP,기획,호
ENFJ,기자,
ENFP,노가다,
ISTP,디자인,
INTP,모션 그래픽,
ENFP,개발자,
INFJ,개발자,
ISTP,연구직,
INFP,기획자,
ESXP,보건 교사,
INFJ,약사,
ENFJ,마케터,
ENFP,간호사,불호
ESTJ,손해사정,
ESTP,현장직,
ESFP,은행 IT,
ISTJ,연구,
INFP,개발,
ISTP,개발자,
ENFP,은행원,불호
ISFJ,전기 기술직,
ISTP,개발,
ENTJ,개발자,
INTJ,국어 교사,
ENTP,은행원,
INTJ,개발직,호
INTJ,증권,불호
ENFP,간호사,
INTP,PM,
ISTJ,전략 기획,
INTJ,디자이너,
ENFP,예체능 교사,
ENTP,포워딩,
ENTJ,마케팅,
ENFP,은행원,호
ISTJ,생산 기술,
ISFP,현장직,
ENFP,디자인,
ESFP,회계,
